# Outlier report
# name  lon  lat  residual  reason
A001           112.61400   41.27100       1.648  KNN
JB44            88.13500   47.85600       0.000  KNN
F423           111.81600   27.69900       2.809  KNN
JB48            75.92300   39.51700       0.000  KNN
JB49            96.98800   32.99700       0.000  KNN
A011           113.88700   40.87600       0.973  KNN
A012           113.75800   40.37200       0.636  KNN
F427           112.17100   30.03200       7.855  KNN
F429           112.31700   31.05200       1.668  KNN
F434           112.91200   22.98200       1.342  KNN
A024           112.84100   39.82000       0.629  KNN
A026           112.83600   39.18200       3.613  KNN
A029           112.69300   38.40100       0.900  KNN
A030           113.05700   39.82000       1.193  KNN
F444           113.66700   27.29300       2.179  KNN
A032           113.19200   39.18300       1.706  KNN
A042           114.22600   39.42500       1.170  KNN
A045           115.26500   39.64200       0.718  KNN
A046           114.58200   39.83900       1.780  KNN
F461           116.74600   28.70000       4.370  KNN
A050           114.58300   38.82600       0.980  KNN
A051           114.55700   38.42800       1.032  KNN
F464           117.33700   27.58000       1.509  KNN
A054           115.40600   40.69100       2.459  KNN
A057           115.16000   40.19000       1.403  KNN
F472           109.69400   19.94000       0.756  KNN
F474           110.99200   19.64400       1.211  KNN
F477           115.96900   29.84000       0.420  KNN
A067           116.24800   40.10500       1.354  KNN
G004           105.17800   37.58100       3.827  KNN
G010           106.10200   36.62900       8.580  KNN
G018           105.80100   35.96400       3.041  KNN
G021           105.00900   35.72600       5.129  KNN
A097           115.77500   38.70200       8.136  KNN
G031           106.20700   35.00600       1.847  KNN
G033           105.65500   34.87200       1.652  KNN
G034           106.15900   34.74900       1.122  KNN
A104           116.48200   38.86600       3.708  KNN
A106           117.08800   40.04100       3.676  KNN
G047           101.66200   39.21600       2.338  KNN
G052           101.19500   38.72300       2.870  KNN
A135           117.79300   39.69800       1.002  KNN
A139           118.12700   39.85300       3.329  KNN
A140           118.21800   39.62400       3.787  KNN
A146           118.85400   39.22000       5.488  KNN
G087           102.37700   36.49900      11.666  KNN+IQR(res=11.67)
A301           116.87000   39.21300       4.020  KNN
G099           103.99200   35.99800      11.148  KNN+IQR(res=11.15)
G102           102.02800   35.92300       8.814  KNN+IQR(res=8.81)
G103           101.44200   36.07500       3.407  KNN
A313           114.75200   40.99600       3.672  KNN
