# tri_id  lon  lat  e_ee  e_en  e_nn  e1  e2  azimuth  dilatation  max_shear  second_invariant  e_ee_std  e_en_std  e_nn_std  e1_std  e2_std  dilatation_std  max_shear_std
    1   133.52600   46.41733         4.931       -15.037         3.374        19.209       -10.905    133.52         8.305        15.057        22.089       4.162       2.118       4.299       3.219       4.024       5.846       2.176
    2   122.94800   52.45233         0.103        -0.307         0.103         0.410        -0.204    135.00         0.206         0.307         0.457       1.850       1.375       1.614       0.935       2.197       2.469       1.151
    3   132.81267   46.00733         8.333       -17.033         7.509        24.959        -9.117    134.31        15.841        17.038        26.572       3.123       2.028       2.402       3.571       1.562       3.785       2.004
    5   124.31733   36.47333        11.592        -1.118         0.419        11.703         0.309     95.66        12.012         5.697        11.707       1.147       0.392       0.242       1.158       0.215       1.192       0.582
    8    86.64700   33.55067        13.034       -10.396       -12.873        16.690       -16.529    109.38         0.161        16.610        23.490       1.197       0.854       0.740       1.075       1.086       1.437       0.807
   10   128.44767   49.50567        -0.951        -2.870         7.988         8.830        -1.793    163.65         7.038         5.312         9.010       0.455       0.706       1.273       0.597       1.228       1.346       0.692
   11   121.24633   52.02633         0.360        -0.087         0.192         0.397         0.156    112.98         0.553         0.121         0.426       3.828       1.546       1.187       3.266       1.668       4.033       1.630
   12   100.38700   46.35300        -0.084        -3.224         0.622         3.512        -2.973    138.12         0.539         3.243         4.602       0.096       0.190       0.270       0.259       0.222       0.295       0.190
   13   116.86533   47.92133        -3.836        -1.848        -0.378         0.424        -4.638    156.55        -4.214         2.531         4.657       2.751       1.493       1.341       0.992       2.898       2.893       1.612
   14   112.79667   43.44600         1.107        -1.426         0.294         2.184        -0.782    127.04         1.401         1.483         2.319       1.202       0.914       1.029       1.558       0.438       1.652       0.792
   15   117.65233   47.73800        -2.301        -0.757        -0.408        -0.142        -2.566    160.67        -2.708         1.212         2.570       2.112       1.404       0.806       0.846       2.434       2.279       1.422
   16   131.98600   46.23133        10.322       -18.124         9.681        28.129        -8.125    134.49        20.003        18.127        29.279       2.195       1.397       1.730       1.849       2.058       2.767       1.383
   17   129.66033   43.70433         4.451        -2.874        -5.241         5.239        -6.029    105.33        -0.790         5.634         7.987       2.944       1.046       0.686       2.900       0.514       2.974       1.458
   20    91.90800   39.47067        -2.484       -13.142        -3.675        10.076       -16.235    133.70        -6.159        13.156        19.108       0.452       0.355       0.685       0.532       0.591       0.882       0.348
   21    99.85967   41.41667        -0.368        -2.005         2.025         3.163        -1.507    150.42         1.656         2.335         3.503       0.358       0.324       0.399       0.212       0.559       0.574       0.310
   22    93.19967   39.77900        -4.406        -9.519        -1.832         6.486       -12.724    138.85        -6.238         9.605        14.282       0.725       0.634       0.972       0.611       0.970       1.179       0.556
   25    86.35733   48.39700         0.507        -4.504       -11.289         2.030       -12.813    108.68       -10.783         7.421        12.972      10.688      19.982      58.269      39.992      28.822      60.289      17.503
   26   129.23033   48.05200        -1.053        -6.609        -6.269         3.443       -10.766    124.23        -7.323         7.105        11.304       0.847       1.861       3.918       1.045       3.968       4.066       2.070
   27   130.68367   48.16333        -2.085        -5.538        10.092        12.234        -4.227    158.85         8.007         8.230        12.944       0.718       1.263       4.760       4.653       0.682       4.774       2.316
   28   120.95233   51.12267        -1.042        -0.472         1.176         1.272        -1.138    168.48         0.134         1.205         1.707       1.853       1.280       1.371       1.092       2.010       2.281       1.147
   29   120.96300   50.31800         0.967        -3.927         1.104         4.963        -2.892    135.50         2.071         3.927         5.744       0.860       1.138       2.071       1.485       1.736       2.296       1.136
   30   122.56567   50.30800         0.079        -5.191         2.018         6.329        -4.232    140.29         2.097         5.280         7.613       0.798       0.966       1.844       1.634       1.118       2.016       0.972
   31   122.65400   51.54867        -0.623         0.368         1.196         1.268        -0.694     11.00         0.573         0.981         1.445       1.631       1.137       1.336       1.055       1.792       1.990       1.083
   32   123.32133   50.95467         1.272        -0.791         1.692         2.300         0.664    142.44         2.963         0.818         2.394       0.788       0.662       1.515       1.223       0.926       1.744       0.645
   33   125.93567   50.01733         1.513         1.542         8.127         8.469         1.172     12.50         9.641         3.649         8.550       2.262       1.739       2.814       3.217       1.673       3.719       1.766
   34   124.75333   50.57033         4.554        -0.345         4.051         4.729         3.875    116.94         8.604         0.427         6.114       1.392       1.036       1.684       1.364       1.703       2.257       1.052
   35   126.51633   48.95133         1.410         4.120         9.583        11.299        -0.306     22.62        10.993         5.803        11.303       1.685       1.257       2.642       2.662       1.269       3.010       1.444
   36   114.84800   46.14333         1.021        -1.369        -0.148         1.925        -1.052    123.45         0.873         1.489         2.194       1.052       0.669       0.411       1.162       0.400       1.214       0.622
   37   116.32733   46.75733        -1.004        -1.272        -0.364         0.628        -1.996    142.05        -1.368         1.312         2.092       2.135       0.434       0.405       1.007       1.448       2.162       0.622
   38   114.10967   44.55900         2.000        -1.695        -0.151         2.932        -1.082    118.80         1.850         2.007         3.125       1.006       0.881       1.143       1.291       0.663       1.504       0.699
   43   116.70400   48.94900        -2.081        -1.649        -0.339         0.655        -3.075    148.92        -2.420         1.865         3.144       3.840       1.919       1.811       2.280       3.156       4.281       1.731
   44   120.58967   49.51900         0.196        -1.065         0.712         1.550        -0.642    141.81         0.908         1.096         1.677       0.932       0.757       0.839       0.900       0.869       1.235       0.633
   45   121.46400   48.96400        -5.582        -0.065         1.283         1.283        -5.583    179.45        -4.299         3.433         5.728       3.305       1.415       1.629       1.341       3.421       3.571       1.887
   46   129.89067   47.39533        -2.987        -8.750        -0.601         7.037       -10.625    138.88        -3.588         8.831        12.744       1.535       1.383       2.128       1.797       1.766       2.488       1.275
   47   130.63633   47.02733       -11.722         1.141        -5.938        -5.721       -11.938     10.77       -17.660         3.109        13.238       2.182       1.350       2.996       1.869       2.512       3.547       1.325
   49    86.59500   29.11600        13.174        15.107       -25.248        18.402       -30.477     70.91       -12.074        24.439        35.602       3.791       5.382       6.555       6.576       5.941       7.654       4.963
   50    85.12400   29.70767        12.318        -4.655        33.302        34.288        11.332    168.04        45.620        11.478        36.112       4.201       5.355      25.073      24.258       5.045      25.302      12.121
   51   105.83067   22.80800         0.879         1.438         0.014         1.948        -1.055     53.37         0.894         1.502         2.216       2.261       1.394       2.234       2.190       1.836       3.310       1.160
   52   105.20700   22.53000         1.781         2.341         0.700         3.643        -1.162     51.50         2.481         2.402         3.824       1.453       2.987       3.654       3.941       1.317       3.914       2.192
   53   108.95800   19.09700        -1.803         1.715         0.518         1.428        -2.713     27.96        -1.285         2.070         3.066       4.333       1.679       1.906       1.691       3.828       4.900       1.660
